Age,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Real_value,Conference,Weight
26,"Nov 26, 1995",1989,6-10,Shawn Kemp,C,1995-1996,1996,6,Seattle SuperSonics,1,NA,280
27,"Nov 26, 1989",1983,6-7,Clyde Drexler,SG,1989-1990,1990,6,Portland Trail Blazers,1,NA,210
23,"Nov 25, 2013",2010,6-4,John Wall,PG,2013-2014,2014,3,Washington Wizards,0.5,East,210
28,"Nov 25, 2013",2006,6-11,LaMarcus Aldridge,FC,2013-2014,2014,7,Portland Trail Blazers,0.5,West,260
23,"Nov 25, 2007",2003,6-8,LeBron James,F,2007-2008,2008,4,Cleveland Cavaliers,0.5,East,250
25,"Nov 25, 2007",2001,6-2,Tony Parker,G,2007-2008,2008,6,San Antonio Spurs,0.5,West,185
25,"Nov 25, 2001",1996,6-9,Shareef Abdur-Rahim,F,2001-2002,2002,5,Atlanta Hawks,0.5,East,225
25,"Nov 25, 2001",1997,6-11,Tim Duncan,FC,2001-2002,2002,4,San Antonio Spurs,0.5,West,250
28,"Nov 25, 1990",1984,6-6,Charles Barkley,PF,1990-1991,1991,6,Philadelphia Sixers,1,NA,252
28,"Nov 25, 1984",1977,6-7,Bernard King,SF,1984-1985,1985,7,New York Knicks,1,NA,205
28,"Nov 24, 2014",2005,6-1,Lou Williams,G,2014-2015,2015,9,Toronto Raptors,0.5,East,175
24,"Nov 24, 2014",2010,6-11,DeMarcus Cousins,C,2014-2015,2015,4,Sacramento Kings,0.5,West,270
27,"Nov 24, 2008",2003,6-4,Dwyane Wade,SG,2008-2009,2009,5,Miami Heat,0.5,East,220
30,"Nov 24, 2008",1998,7-0,Dirk Nowitzki,PF,2008-2009,2009,10,Dallas Mavericks,0.5,West,245
27,"Nov 24, 2002",1996,6-0,Allen Iverson,G,2002-2003,2003,6,Philadelphia Sixers,0.5,East,165
26,"Nov 24, 2002",1995,6-11,Kevin Garnett,PF,2002-2003,2003,7,Minnesota Timberwolves,0.5,West,240
34,"Nov 24, 1996",1984,6-6,Charles Barkley,PF,1996-1997,1997,12,Houston Rockets,1,NA,252
33,"Nov 24, 1996",1985,6-9,Karl Malone,PF,1996-1997,1997,11,Utah Jazz,1,NA,265
29,"Nov 24, 1991",1984,7-0,Kevin Willis,C,1991-1992,1992,7,Atlanta Hawks,1,NA,245
32,"Nov 24, 1985",1976,6-7,Alex English,SF,1985-1986,1986,9,Denver Nuggets,1,NA,190
31,"Nov 23, 2015",2003,6-8,LeBron James,F,2015-2016,2016,12,Cleveland Cavaliers,0.5,East,250
27,"Nov 23, 2015",2009,6-3,Stephen Curry,G,2015-2016,2016,6,Golden State Warriors,0.5,West,190
25,"Nov 23, 2009",2003,6-8,LeBron James,F,2009-2010,2010,6,Cleveland Cavaliers,0.5,East,250
31,"Nov 23, 2009",1996,6-6,Kobe Bryant,SG,2009-2010,2010,13,Los Angeles Lakers,0.5,West,212
27,"Nov 23, 2003",1997,6-3,Chauncey Billups,G,2003-2004,2004,6,Detroit Pistons,0.5,East,210
27,"Nov 23, 2003",1995,6-11,Kevin Garnett,PF,2003-2004,2004,8,Minnesota Timberwolves,0.5,West,240
35,"Nov 23, 1997",1984,6-6,Michael Jordan,SG,1997-1998,1998,12,Chicago Bulls,1,NA,215
24,"Nov 23, 1986",1984,6-3,Alvin Robertson,SG,1986-1987,1987,2,San Antonio Spurs,1,NA,185
28,"Nov 22, 2010",2002,6-10,Amar'e Stoudemire,FC,2010-2011,2011,8,New York Knicks,0.5,East,245
22,"Nov 22, 2010",2008,6-3,Russell Westbrook,G,2010-2011,2011,2,Oklahoma City Thunder,0.5,West,200
30,"Nov 22, 1992",1984,6-6,Michael Jordan,SG,1992-1993,1993,8,Chicago Bulls,1,NA,215
24,"Nov 22, 1987",1985,6-7,Xavier McDaniel,PF,1987-1988,1988,2,Seattle SuperSonics,1,NA,205
27,"Nov 21, 2016",2011,201cm,Jimmy Butler,GF,2016-2017,2017,5,Chicago Bulls,0.5,East,105kg
23,"Nov 21, 2016",2012,208cm,Anthony Davis,PF,2016-2017,2017,4,New Orleans Pelicans,0.5,West,115kg
21,"Nov 21, 2005",2003,6-8,LeBron James,F,2005-2006,2006,2,Cleveland Cavaliers,0.5,East,250
26,"Nov 21, 2005",1999,6-9,Elton Brand,PF,2005-2006,2006,6,Los Angeles Clippers,0.5,West,254
26,"Nov 21, 2005",1999,6-9,Elton Brand,PF,2005-2006,2006,6,Los Angeles Clippers,0.5,West,254
32,"Nov 21, 2004",1994,6-8,Grant Hill,SF,2004-2005,2005,10,Orlando Magic,0.5,East,225
22,"Nov 21, 2004",2002,6-10,Amar'e Stoudemire,FC,2004-2005,2005,2,Phoenix Suns,0.5,West,245
23,"Nov 21, 1999",1998,6-6,Vince Carter,SF,1999-2000,2000,1,Toronto Raptors,1,NA,220
31,"Nov 21, 1993",1984,6-6,Charles Barkley,PF,1993-1994,1994,9,Phoenix Suns,1,NA,252
28,"Nov 20, 2017",2009,201cm,DeMar DeRozan,GF,2017-2018,2018,8,Toronto Raptors,0.5,East,100kg
22,"Nov 20, 2017",2015,213cm,Karl-Anthony Towns,C,2017-2018,2018,2,Minnesota Timberwolves,0.5,West,111kg
25,"Nov 20, 1994",1991,6-0,Elliot Perry,PG,1994-1995,1995,3,Phoenix Suns,1,NA,150
26,"Nov 20, 1988",1984,6-6,Michael Jordan,SG,1988-1989,1989,4,Chicago Bulls,1,NA,215
22,"Nov 2, 2015",2012,6-11,Andre Drummond,C,2015-2016,2016,3,Detroit Pistons,0.5,East,279
27,"Nov 2, 2015",2009,6-3,Stephen Curry,G,2015-2016,2016,6,Golden State Warriors,0.5,West,190
24,"Nov 2, 2009",2004,6-11,Dwight Howard,C,2009-2010,2010,5,Orlando Magic,0.5,East,265
25,"Nov 2, 2009",2003,6-8,Carmelo Anthony,F,2009-2010,2010,6,Denver Nuggets,0.5,West,240
24,"Nov 2, 2003",1999,6-3,Baron Davis,G,2003-2004,2004,4,New Orleans Hornets,0.5,East,215
